timestamp,open,high,low,close,volume
2020-05-04 16:00:00,178.9700,179.1000,178.5200,178.8600,573048
2020-05-04 15:59:00,178.9600,178.9900,178.8300,178.9800,187238
2020-05-04 15:58:00,178.8600,178.9800,178.8300,178.9600,146165
2020-05-04 15:57:00,178.8300,178.8800,178.7100,178.8650,165646
2020-05-04 15:56:00,178.6100,178.8400,178.5800,178.8300,151719
2020-05-04 15:55:00,178.3900,178.6500,178.3700,178.6300,133750
2020-05-04 15:54:00,178.4100,178.4800,178.3900,178.3900,76475
2020-05-04 15:53:00,178.4100,178.4800,178.3625,178.3998,73223
2020-05-04 15:52:00,178.5300,178.5500,178.4000,178.4073,136162
2020-05-04 15:51:00,178.6400,178.7600,178.3400,178.5700,139686
2020-05-04 15:50:00,178.5800,178.6900,178.5800,178.6600,69847
2020-05-04 15:49:00,178.7100,178.7400,178.5400,178.5900,98670
2020-05-04 15:48:00,178.6200,178.7500,178.6000,178.7100,78467
2020-05-04 15:47:00,178.5800,178.6500,178.5400,178.6300,58814
2020-05-04 15:46:00,178.5650,178.6000,178.4474,178.5620,70853
2020-05-04 15:45:00,178.4700,178.6200,178.4700,178.5600,69174
2020-05-04 15:44:00,178.6003,178.6300,178.4300,178.4681,67633
2020-05-04 15:43:00,178.5100,178.6300,178.5100,178.6050,95036
2020-05-04 15:42:00,178.4301,178.5400,178.4100,178.5000,59479
2020-05-04 15:41:00,178.3800,178.4550,178.3500,178.4350,43665
2020-05-04 15:40:00,178.2700,178.4350,178.2700,178.3702,51479
2020-05-04 15:39:00,178.4300,178.4500,178.2500,178.2700,57384
2020-05-04 15:38:00,178.3772,178.4600,178.3100,178.4300,38854
2020-05-04 15:37:00,178.2800,178.4790,178.2600,178.3700,67170
2020-05-04 15:36:00,178.5300,178.5300,178.2700,178.2800,62147
2020-05-04 15:35:00,178.4900,178.5400,178.4000,178.5200,59406
2020-05-04 15:34:00,178.4050,178.5300,178.4001,178.4700,61697
2020-05-04 15:33:00,178.3850,178.4100,178.3300,178.4100,38981
2020-05-04 15:32:00,178.4700,178.5000,178.2800,178.3800,49054
2020-05-04 15:31:00,178.5000,178.5700,178.4100,178.4800,92594
2020-05-04 15:30:00,178.4159,178.5500,178.4100,178.5000,75702
2020-05-04 15:29:00,178.2700,178.4700,178.2700,178.4085,72339
2020-05-04 15:28:00,178.2500,178.2952,178.2099,178.2700,49464
2020-05-04 15:27:00,178.3150,178.3190,178.2400,178.2500,40079
2020-05-04 15:26:00,178.3800,178.4100,178.2400,178.3100,60928
2020-05-04 15:25:00,178.6000,178.6180,178.3800,178.3800,69519
2020-05-04 15:24:00,178.6858,178.6858,178.6000,178.6000,38911
2020-05-04 15:23:00,178.7000,178.7100,178.6400,178.6800,60263
2020-05-04 15:22:00,178.6700,178.6900,178.5973,178.6800,52841
2020-05-04 15:21:00,178.5050,178.6700,178.4950,178.6600,56081
2020-05-04 15:20:00,178.5902,178.5902,178.4700,178.5000,39229
2020-05-04 15:19:00,178.6099,178.6400,178.5000,178.5900,51925
2020-05-04 15:18:00,178.4450,178.6400,178.4100,178.6100,91279
2020-05-04 15:17:00,178.4100,178.5000,178.4100,178.4400,55921
2020-05-04 15:16:00,178.4600,178.4829,178.3950,178.4250,55279
2020-05-04 15:15:00,178.3800,178.4600,178.3800,178.4600,36384
2020-05-04 15:14:00,178.4900,178.4981,178.3300,178.3800,61039
2020-05-04 15:13:00,178.4900,178.5000,178.4600,178.4901,68973
2020-05-04 15:12:00,178.3650,178.5000,178.3650,178.4800,69891
2020-05-04 15:11:00,178.2900,178.4000,178.2400,178.3601,79959
2020-05-04 15:10:00,178.2000,178.3000,178.1650,178.3000,75913
2020-05-04 15:09:00,178.0850,178.2000,178.0800,178.1850,55436
2020-05-04 15:08:00,178.1200,178.1500,178.0400,178.0800,35567
2020-05-04 15:07:00,178.0550,178.1315,178.0000,178.1252,29069
2020-05-04 15:06:00,178.1300,178.1450,178.0000,178.0600,59512
2020-05-04 15:05:00,178.1200,178.1615,178.0900,178.1400,31954
2020-05-04 15:04:00,178.0415,178.1500,178.0239,178.1340,46750
2020-05-04 15:03:00,178.0200,178.0700,178.0100,178.0500,29095
2020-05-04 15:02:00,178.0700,178.0700,178.0100,178.0100,33924
2020-05-04 15:01:00,178.1200,178.1500,178.0000,178.0700,66383
2020-05-04 15:00:00,178.0600,178.2500,178.0400,178.1300,111285
2020-05-04 14:59:00,177.9850,178.0800,177.9700,178.0600,106124
2020-05-04 14:58:00,177.9000,178.0000,177.8799,177.9900,50284
2020-05-04 14:57:00,178.0000,178.0000,177.9050,177.9100,59900
2020-05-04 14:56:00,177.9500,178.0000,177.9200,178.0000,64320
2020-05-04 14:55:00,177.8550,177.9700,177.8400,177.9500,44608
2020-05-04 14:54:00,177.7850,177.8700,177.7701,177.8400,41713
2020-05-04 14:53:00,177.8450,177.8600,177.7000,177.7850,71130
2020-05-04 14:52:00,177.9400,177.9900,177.8481,177.8481,66846
2020-05-04 14:51:00,177.8900,178.0000,177.8300,177.9401,113714
2020-05-04 14:50:00,177.7343,177.8800,177.7343,177.8800,62299
2020-05-04 14:49:00,177.6827,177.7500,177.6500,177.7400,34031
2020-05-04 14:48:00,177.6000,177.7000,177.6000,177.6657,53119
2020-05-04 14:47:00,177.5200,177.6100,177.4800,177.6000,47269
2020-05-04 14:46:00,177.2500,177.5400,177.2300,177.5050,48775
2020-05-04 14:45:00,177.3661,177.3941,177.2600,177.2600,23860
2020-05-04 14:44:00,177.3200,177.3900,177.3200,177.3600,29668
2020-05-04 14:43:00,177.2880,177.3594,177.2200,177.3501,32520
2020-05-04 14:42:00,177.2200,177.3000,177.2200,177.2300,35179
2020-05-04 14:41:00,177.0702,177.1694,177.0200,177.1300,29494
2020-05-04 14:40:00,177.1800,177.2150,177.0400,177.0854,36010
2020-05-04 14:39:00,177.1900,177.2800,177.1600,177.1700,33018
2020-05-04 14:38:00,177.2100,177.3100,177.1600,177.1600,36832
2020-05-04 14:37:00,177.1899,177.2500,177.1600,177.2100,31663
2020-05-04 14:36:00,177.3100,177.3300,177.1500,177.2000,43356
2020-05-04 14:35:00,177.4600,177.4600,177.2250,177.3100,41752
2020-05-04 14:34:00,177.4800,177.5233,177.4266,177.4600,24221
2020-05-04 14:33:00,177.4900,177.5600,177.4700,177.4750,38380
2020-05-04 14:32:00,177.4100,177.5000,177.3900,177.5000,43506
2020-05-04 14:31:00,177.3200,177.4000,177.2650,177.3900,30771
2020-05-04 14:30:00,177.2100,177.3698,177.2000,177.3250,59256
2020-05-04 14:29:00,177.3050,177.3100,177.1976,177.2100,26687
