time,vwap
2020-05-04 13:06,176.5840
2020-05-04 13:05,176.5826
2020-05-04 13:04,176.5802
2020-05-04 13:03,176.5787
2020-05-04 13:02,176.5766
2020-05-04 13:01,176.5746
2020-05-04 13:00,176.5733
2020-05-04 12:59,176.5706
2020-05-04 12:58,176.5626
2020-05-04 12:57,176.5612
2020-05-04 12:56,176.5607
2020-05-04 12:55,176.5602
2020-05-04 12:54,176.5596
2020-05-04 12:53,176.5589
2020-05-04 12:52,176.5577
2020-05-04 12:51,176.5566
2020-05-04 12:50,176.5558
2020-05-04 12:49,176.5548
2020-05-04 12:48,176.5539
2020-05-04 12:47,176.5531
2020-05-04 12:46,176.5526
2020-05-04 12:45,176.5519
2020-05-04 12:44,176.5513
2020-05-04 12:43,176.5507
2020-05-04 12:42,176.5498
2020-05-04 12:41,176.5485
2020-05-04 12:40,176.5475
2020-05-04 12:39,176.5466
2020-05-04 12:38,176.5458
2020-05-04 12:37,176.5449
2020-05-04 12:36,176.5437
2020-05-04 12:35,176.5405
2020-05-04 12:34,176.5387
2020-05-04 12:33,176.5359
2020-05-04 12:32,176.5329
2020-05-04 12:31,176.5304
2020-05-04 12:30,176.5281
2020-05-04 12:29,176.5254
2020-05-04 12:28,176.5229
2020-05-04 12:27,176.5197
2020-05-04 12:26,176.5174
2020-05-04 12:25,176.5148
2020-05-04 12:24,176.5128
2020-05-04 12:23,176.5102
2020-05-04 12:22,176.5065
2020-05-04 12:21,176.5046
2020-05-04 12:20,176.5009
2020-05-04 12:19,176.4992
2020-05-04 12:18,176.4970
2020-05-04 12:17,176.4918
2020-05-04 12:16,176.4875
2020-05-04 12:15,176.4845
2020-05-04 12:14,176.4822
2020-05-04 12:13,176.4793
2020-05-04 12:12,176.4741
2020-05-04 12:11,176.4690
2020-05-04 12:10,176.4632
2020-05-04 12:09,176.4599
2020-05-04 12:08,176.4542
2020-05-04 12:07,176.4501
2020-05-04 12:06,176.4473
2020-05-04 12:05,176.4433
2020-05-04 12:04,176.4397
2020-05-04 12:03,176.4354
2020-05-04 12:02,176.4304
2020-05-04 12:01,176.4252
2020-05-04 12:00,176.4223
2020-05-04 11:59,176.4166
2020-05-04 11:58,176.4126
2020-05-04 11:57,176.4065
2020-05-04 11:56,176.4019
2020-05-04 11:55,176.3962
2020-05-04 11:54,176.3923
2020-05-04 11:53,176.3867
2020-05-04 11:52,176.3823
2020-05-04 11:51,176.3767
2020-05-04 11:50,176.3730
2020-05-04 11:49,176.3686
2020-05-04 11:48,176.3596
2020-05-04 11:47,176.3532
2020-05-04 11:46,176.3468
2020-05-04 11:45,176.3222
2020-05-04 11:44,176.3147
2020-05-04 11:43,176.3100
2020-05-04 11:42,176.3051
2020-05-04 11:41,176.2983
2020-05-04 11:40,176.2911
2020-05-04 11:39,176.2832
2020-05-04 11:38,176.2756
2020-05-04 11:37,176.2719
2020-05-04 11:36,176.2637
2020-05-04 11:33,176.2486
2020-05-04 11:32,176.2434
2020-05-04 11:31,176.2378
2020-05-04 11:30,176.2336
2020-05-04 11:29,176.2291
2020-05-04 11:28,176.2243
2020-05-04 11:27,176.2165
2020-05-04 11:26,176.2074
2020-05-04 11:25,176.2004
2020-05-04 11:24,176.1873
2020-05-04 11:23,176.1781
2020-05-04 11:22,176.1719
2020-05-04 11:21,176.1655
2020-05-04 11:20,176.1594
2020-05-04 11:19,176.1534
2020-05-04 11:18,176.1467
2020-05-04 11:17,176.1367
2020-05-04 11:16,176.1307
2020-05-04 11:15,176.1225
2020-05-04 11:14,176.1081
2020-05-04 11:13,176.0944
2020-05-04 11:12,176.0824
2020-05-04 11:11,176.0703
2020-05-04 11:10,176.0609
2020-05-04 11:09,176.0464
2020-05-04 11:08,176.0373
2020-05-04 11:07,176.0255
2020-05-04 11:06,176.0048
2020-05-04 11:05,175.9832
2020-05-04 11:04,175.9725
2020-05-04 11:03,175.9629
2020-05-04 11:00,175.9390
2020-05-04 10:59,175.9331
2020-05-04 10:58,175.9255
2020-05-04 10:57,175.9192
2020-05-04 10:56,175.9120
2020-05-04 10:55,175.9042
2020-05-04 10:54,175.8969
2020-05-04 10:53,175.8923
2020-05-04 10:52,175.8895
2020-05-04 10:51,175.8817
2020-05-04 10:50,175.8670
2020-05-04 10:49,175.8586
2020-05-04 10:48,175.8498
2020-05-04 10:47,175.8348
2020-05-04 10:46,175.8224
2020-05-04 10:45,175.7978
2020-05-04 10:44,175.7849
2020-05-04 10:43,175.7703
2020-05-04 10:42,175.7610
2020-05-04 10:41,175.7448
2020-05-04 10:40,175.7318
2020-05-04 10:39,175.7247
2020-05-04 10:38,175.7191
2020-05-04 10:37,175.7103
2020-05-04 10:36,175.6989
2020-05-04 10:35,175.6893
2020-05-04 10:34,175.6843
2020-05-04 10:33,175.6772
2020-05-04 10:32,175.6654
2020-05-04 10:31,175.6507
2020-05-04 10:30,175.6314
2020-05-04 10:29,175.6224
2020-05-04 10:28,175.6124
2020-05-04 10:27,175.6046
2020-05-04 10:26,175.5954
2020-05-04 10:25,175.5847
2020-05-04 10:24,175.5763
2020-05-04 10:23,175.5632
2020-05-04 10:22,175.5434
2020-05-04 10:21,175.5284
2020-05-04 10:20,175.5137
2020-05-04 10:19,175.4953
2020-05-04 10:18,175.4746
2020-05-04 10:17,175.4530
2020-05-04 10:16,175.4361
2020-05-04 10:15,175.4195
2020-05-04 10:14,175.3964
2020-05-04 10:13,175.3827
2020-05-04 10:12,175.3606
2020-05-04 10:11,175.3477
2020-05-04 10:10,175.3339
2020-05-04 10:09,175.3072
2020-05-04 10:08,175.2718
2020-05-04 10:07,175.2413
2020-05-04 10:06,175.2144
2020-05-04 10:05,175.1793
2020-05-04 10:04,175.1305
2020-05-04 10:03,175.0729
2020-05-04 10:02,175.0259
2020-05-04 10:01,174.9924
2020-05-04 10:00,174.9501
2020-05-04 09:59,174.9246
2020-05-04 09:58,174.9102
2020-05-04 09:57,174.8899
2020-05-04 09:56,174.8479
2020-05-04 09:55,174.8053
2020-05-04 09:54,174.7864
2020-05-04 09:53,174.7520
2020-05-04 09:52,174.6918
2020-05-04 09:51,174.6648
2020-05-04 09:50,174.6360
2020-05-04 09:49,174.6138
2020-05-04 09:48,174.5802
2020-05-04 09:47,174.5558
2020-05-04 09:46,174.5394
2020-05-04 09:45,174.5202
2020-05-04 09:44,174.5067
2020-05-04 09:43,174.4921
2020-05-04 09:42,174.4674
2020-05-04 09:41,174.4371
2020-05-04 09:40,174.4167
2020-05-04 09:39,174.3994
2020-05-04 09:38,174.3669
2020-05-04 09:37,174.3565
2020-05-04 09:36,174.3490
2020-05-04 09:35,174.3226
2020-05-04 09:34,174.2968
2020-05-04 09:33,174.3051
2020-05-04 09:32,174.3315
2020-05-04 09:31,174.3389
2020-05-01 16:00,176.0353
2020-05-01 15:59,176.0750
2020-05-01 15:58,176.0913
2020-05-01 15:57,176.1067
2020-05-01 15:56,176.1191
2020-05-01 15:55,176.1455
2020-05-01 15:54,176.1609
2020-05-01 15:53,176.1653
2020-05-01 15:52,176.1690
2020-05-01 15:51,176.1764
2020-05-01 15:50,176.1824
2020-05-01 15:49,176.1908
2020-05-01 15:48,176.1934
2020-05-01 15:47,176.1964
2020-05-01 15:46,176.2016
2020-05-01 15:45,176.2051
2020-05-01 15:44,176.2088
2020-05-01 15:43,176.2116
2020-05-01 15:42,176.2141
2020-05-01 15:41,176.2172
2020-05-01 15:40,176.2212
2020-05-01 15:39,176.2253
2020-05-01 15:38,176.2293
2020-05-01 15:37,176.2323
2020-05-01 15:36,176.2348
2020-05-01 15:35,176.2371
2020-05-01 15:34,176.2423
2020-05-01 15:33,176.2445
2020-05-01 15:32,176.2465
2020-05-01 15:31,176.2492
2020-05-01 15:30,176.2508
2020-05-01 15:29,176.2525
2020-05-01 15:28,176.2550
2020-05-01 15:27,176.2568
2020-05-01 15:26,176.2588
2020-05-01 15:25,176.2618
2020-05-01 15:24,176.2638
2020-05-01 15:23,176.2658
2020-05-01 15:22,176.2666
2020-05-01 15:21,176.2676
2020-05-01 15:20,176.2693
2020-05-01 15:19,176.2706
2020-05-01 15:18,176.2715
2020-05-01 15:17,176.2722
2020-05-01 15:16,176.2737
